"REF_DATE","GEO","DGUID","Employment category","Air carrier levels","Employees and salary expenses","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100668","1.7.2.1","6111","","","","0"
"2014","Canada","2016A000011124","All other employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100669","1.7.2.2","401500","","","","0"
"2014","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100682","1.7.3.1","210","","","","0"
"2014","Canada","2016A000011124","All other employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100683","1.7.3.2","8123","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100698","1.1.1.1","55497","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Total, Canadian air carriers, Levels I to III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100699","1.1.1.2","3991891","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Average number of employees","Number","223","units","0","v1038100670","1.1.2.1","50045","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Levels I and II","Wages and salaries expenses","Dollars","81","thousands","3","v1038100671","1.1.2.2","3670277","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Average number of employees","Number","223","units","0","v1038100684","1.1.3.1","5452","","","","0"
"2015","Canada","2016A000011124","Total, average number of employees","Canadian air carriers, Level III","Wages and salaries expenses","Dollars","81","thousands","3","v1038100685","1.1.3.2","321614","","","","0"
"2015","Canada","2016A000011124","Pilots and co-pilots","Total, Canadian air carriers, Levels I to III","Average number of employees","Number","223","units","0","v1038100686","1.2.1.1","11261","","","","0"
