"REF_DATE","GEO","DGUID","Air carrier levels","Productivity measures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","15641","","","","0"
"2020","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","257963","","","","0"
"2020","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","186414","","","","0"
"2020","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","254601","","","","0"
"2020","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","206412","","","","0"
"2020","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","287325","","","","0"
"2020","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","11787","","","","0"
"2021","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Operating revenue per employee","Dollars","81","units","0","v122615449","1.1.1","275191","","","","0"
"2021","Canada","2016A000011124","Total, Canadian air carriers, Levels I to III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615450","1.1.2","188499","","","","0"
"2021","Canada","2016A000011124","Canadian air carriers, Levels I and II","Operating revenue per employee","Dollars","81","units","0","v122615451","1.2.1","268478","","","","0"
"2021","Canada","2016A000011124","Canadian air carriers, Levels I and II","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615452","1.2.2","213927","","","","0"
"2021","Canada","2016A000011124","Canadian air carriers, Level III","Operating revenue per employee","Dollars","81","units","0","v122615453","1.3.1","321379","","","","0"
"2021","Canada","2016A000011124","Canadian air carriers, Level III","Tonne-kilometres flown per employee","Tonne-kilometres","285","units","0","v122615454","1.3.2","13558","","","","0"
