"REF_DATE","GEO","DGUID","Type of service","Air carrier levels","Operating statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Scheduled services","Canadian air carriers, Level III","Hours flown","Number","223","thousands","3","v122615200","1.2.3.8","79","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passengers","Number","223","thousands","3","v122615201","1.3.1.2","4519","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Goods carried","Kilograms","192","thousands","3","v122615202","1.3.1.3","299583","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passenger-kilometres","Number","223","thousands","3","v122615203","1.3.1.4","8661739","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615204","1.3.1.5","866174","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615205","1.3.1.6","321576","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Total tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615206","1.3.1.7","1187750","","","","0"
"2012","Canada","2016A000011124","Charter services","Total, Canadian air carriers, Levels I to III","Hours flown","Number","223","thousands","3","v122615207","1.3.1.8","555","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passengers","Number","223","thousands","3","v122615208","1.3.2.2","3267","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Goods carried","Kilograms","192","thousands","3","v122615209","1.3.2.3","245510","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passenger-kilometres","Number","223","thousands","3","v122615210","1.3.2.4","7922600","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Passenger tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615211","1.3.2.5","792260","","","","0"
"2012","Canada","2016A000011124","Charter services","Canadian air carriers, Levels I and II","Goods tonne-kilometres","Tonne-kilometres","285","thousands","3","v122615212","1.3.2.6","297928","","","","0"
