"REF_DATE","GEO","DGUID","Type of fuel","Air carrier levels","Fuel consumption","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","212870","","","","0"
"2014","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","234329","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","6960640","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","6233679","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","6760042","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","6014761","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100706","1.2.3.1","200598","","","","0"
"2014","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100707","1.2.3.2","218918","","","","0"
"2014","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100708","1.3.3.1","12242","","","","0"
"2014","Canada","2016A000011124","Gasoline","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100709","1.3.3.2","15121","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100716","1.4.1.1","14065","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100717","1.4.1.2","18095","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100702","1.4.2.1","1793","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100703","1.4.2.2","2684","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100710","1.4.3.1","29","","","","0"
"2014","Canada","2016A000011124","All other fuel and oil","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100711","1.4.3.2","290","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100718","1.1.1.1","7070300","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100719","1.1.1.2","4874769","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100704","1.1.2.1","6885536","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100705","1.1.2.2","4689557","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption quantity","Litres","203","thousands","3","v1038100712","1.1.3.1","184764","","","","0"
"2015","Canada","2016A000011124","Total, fuel and oil consumption","Canadian air carriers, Level III","Consumption expenses","Dollars","81","thousands","3","v1038100713","1.1.3.2","185212","","","","0"
"2015","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption quantity","Litres","203","thousands","3","v1038100714","1.2.1.1","7052353","","","","0"
"2015","Canada","2016A000011124","Turbo fuel","Total, Canadian air carriers, Levels I to III","Consumption expenses","Dollars","81","thousands","3","v1038100715","1.2.1.2","4854789","","","","0"
"2015","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption quantity","Litres","203","thousands","3","v1038100700","1.2.2.1","6883919","","","","0"
"2015","Canada","2016A000011124","Turbo fuel","Canadian air carriers, Levels I and II","Consumption expenses","Dollars","81","thousands","3","v1038100701","1.2.2.2","4687600","","","","0"
